sample,pH,YJT,YJZ,QN,QP,QK,SXYJL,SXJ,ATD,XTD,DDL,QY,QLG,QLP,Mn,Ca,Cu,Fe,Zn,FZZ,HMSFFS,HMS1,FFS,HMS2,GSB
a1,5,12.85,22.2,1.76,0.0758,2.83,9.4,298,18.9,73.2,306,0.47,202,3.298,0.4,3.7,11,47.8,104,12.9,8.5,4.9,3.7,4.3,0.84
a2,4.71,12.1,20.9,1.54,0.0854,2.93,74.9,229,60.9,117.7,432,0.6,295,3.611,0.37,2.8,9,43.9,94,12.1,8.4,3.3,5.1,3.7,0.84
a3,4.99,13.2,22.8,1.65,0.0756,2.9,67.5,205,8.3,21,129.6,0.67,242,3.112,0.38,2.5,26,46.8,96,13.2,5.2,3.5,1.6,8,0.83
a4,4.9,14.32,24.7,1.72,0.0809,2.92,62.2,259,10.8,55.9,204,0.22,188,2.014,0.36,9.9,28,44.4,94,14.3,5.6,3.2,2.4,8.7,0.84
a5,4.72,11.49,19.8,1.56,0.0826,2.89,76.2,179,6.9,43.8,235,0.32,215,0.974,0.36,2.7,24,48.7,98,11.5,10.3,5.5,4.9,1.2,0.84
a6,4.66,14.71,25.4,1.63,0.0895,2.86,14.3,281,26.1,135.9,398,0.72,240,3.429,0.37,2.8,12,44.7,97,14.7,11.7,7.9,3.8,3,0.74
a7,4.92,11.64,20.1,1.59,0.0725,2.98,108.4,186,46.5,79.1,231,0.27,141,3.063,0.36,2.7,21,46.1,88,11.6,6.9,4.7,2.2,4.8,0.75
a8,5.19,12.77,22,1.44,0.0774,3.15,64.3,211,9.3,66.9,171.5,0.1,170,2.981,0.41,2.8,28,45.8,89,12.8,6.3,4.3,2,6.4,0.74
a9,5.07,13.05,22.5,1.64,0.0846,2.96,50.7,244,9.5,43.3,125.3,0.17,186,3.088,0.36,2.3,12,36.3,83,13.1,2.2,1.6,0.5,10.9,0.76
a10,4.79,12.3,21.2,1.68,0.0791,2.91,109.1,254,34.3,60.8,263,0.99,240,3.181,0.34,2.5,23,41,89,12.3,5.2,4.3,0.9,7.1,0.76
a11,5,13.32,23,1.51,0.0753,2.91,80,249,5,47.2,190.4,0.8,220,2.932,0.41,2.9,14,43,90,13.3,3.4,2.2,1.2,9.9,0.8
a12,4.89,12.92,22.3,1.63,0.0791,2.98,97.1,359,10.7,58.4,227,0.85,229,3.097,0.35,2.4,24,40.5,87,12.9,3.3,2,1.3,9.7,0.78
a13,5,12.93,22.3,1.61,0.0872,3.01,92.4,327,5.5,37.2,122.5,0.4,191,3.012,0.37,2.5,24,41.2,88,12.9,3.1,2,1.1,9.8,0.8
a14,4.69,12.92,22.3,1.61,0.0891,2.93,119.2,275,7.2,66.6,269,1,184,2.427,0.36,2.6,37,38.8,90,12.9,2.6,1.6,1,10.3,0.79
a15,4.62,12.92,22.3,1.76,0.0815,2.98,75,288,108.4,79.8,380,1.02,176,2.12,0.35,2.6,19,38.6,90,12.9,3.8,2.4,1.4,9.1,0.8
a16,4.84,12.75,22,1.61,0.089,3,102.7,402,16.9,51.8,188.4,0.74,210,2.791,0.37,2.7,25,41.8,93,12.8,2.3,1.3,1,10.5,0.78
